GPS_time,x,y,depth
236877.983,-85.48060279,724.09388,10.0650071
236889.98,-86.30589225,723.028368,10.1341634
236902.046,-87.28377293,725.824537,10.1535271
236913.983,-89.60593464,728.253589,10.1867222
236925.976,-88.97748891,728.272267,10.2309822
236937.979,-90.42507655,728.610017,10.250346
236949.975,-88.49065601,729.416564,10.283541
236961.934,-91.62294797,730.03358,10.3029047
236973.979,-91.68742471,731.059533,10.3084372
236985.982,-92.03305662,732.487244,10.3084372
236997.976,-93.28696611,732.326848,10.3139697
237009.979,-95.84217394,734.347852,10.305671
237021.981,-94.54134594,733.401983,10.2558785
237033.979,-94.31793957,735.273014,10.1922547
237057.981,-95.72325952,735.689022,10.0788383
237069.981,-95.53928598,736.684069,10.0428771
237081.976,-95.59145093,736.47937,10.0152146
237093.982,-96.68751093,738.175244,9.99031829
237105.98,-98.20476438,738.452188,9.98755204
237117.981,-97.75675394,738.060415,9.98478579
237141.975,-98.99031416,739.204971,9.99585079
237153.981,-99.85146691,739.279462,10.0069158
237189.981,-102.1113734,740.599579,10.1009684
237201.976,-101.1171134,742.315662,10.0871371
237213.978,-100.4282908,743.372938,10.0484096
237226.006,-103.1077128,742.458227,9.98201953
237249.978,-104.3462624,743.844602,9.75518689
237261.976,-105.1481048,744.139108,9.69986186
237273.978,-106.8559081,744.636441,9.64177057
237297.983,-106.4943932,746.066316,9.67496559
237309.978,-105.313329,746.567755,9.72752437
237321.978,-108.3941868,747.823639,9.77731691
237345.978,-108.3208162,748.068872,9.84923945
237357.978,-109.9598167,749.226538,9.86030446
237381.951,-110.8600122,751.971723,9.80221317
237393.952,-108.0196873,749.761378,9.78838191
237417.976,-114.2951632,752.152988,9.76348565
237429.974,-112.832545,751.401185,9.79668067
237441.981,-113.6903172,752.688266,9.85753821
237453.978,-114.7408056,754.044054,9.921162
237465.978,-115.0395811,753.599688,9.97925328
237477.978,-116.3996814,754.60318,10.0262796
237490.063,-117.1803286,753.307553,10.0235133
237501.976,-117.0870002,754.884813,10.0041495
237513.978,-115.6941625,754.925936,9.97372078
237525.978,-117.8039469,756.377316,9.95712327
237549.978,-119.0683021,758.252091,9.94605826
237562.038,-119.2330941,758.12596,9.91286324
237585.974,-121.630898,759.335286,9.90456449
237597.976,-120.8884136,758.338547,9.932227
237609.976,-121.4348405,760.232264,9.95435702
237633.976,-122.9672493,762.109701,10.0345783
237657.978,-123.7018797,762.732755,10.1562934
237669.978,-124.1707253,763.580168,10.2392809
237693.978,-125.3648484,764.83142,10.3195022
237705.976,-126.5258602,765.701739,10.3692948
237729.976,-127.2789225,764.804538,10.4910099
237742.072,-128.0832634,765.510708,10.5103736
237765.981,-127.170107,766.67729,10.4412173
237777.978,-129.1398898,768.589021,10.4246198
237789.978,-127.720891,769.289953,10.394191
237801.978,-128.3472222,771.167919,10.360996
237814.01,-129.1648389,769.794366,10.349931
237825.978,-129.4442597,769.806335,10.3222685
237837.892,-129.0339803,770.251925,10.2973722
237849.92,-128.1436088,771.966542,10.272476
237861.981,-130.0911822,772.571009,10.2226834
237873.981,-130.6455813,772.732061,10.1894884
237885.981,-132.291086,772.94476,10.1562934
237897.985,-131.3340905,773.54998,10.1590596
237909.979,-131.1251466,773.242068,10.1701247
237922.01,-132.6460181,774.497921,10.1894884
237933.978,-133.3836763,775.665271,10.2282159
237945.976,-134.0420163,775.88665,10.2226834
237958.07,-132.5648366,776.09267,10.2337484
237970.08,-134.6118566,777.521716,10.2254497
237994.067,-136.6241633,777.513314,10.1341634
238005.983,-136.5877942,775.574176,10.1811897
238029.982,-138.46999,777.507003,10.2309822
238054.035,-139.7426954,777.649218,10.2780085
238065.977,-140.3920697,777.891863,10.3250347
238077.982,-138.9867055,778.852132,10.372061
238089.977,-141.841093,778.840088,10.4412173
238101.979,-142.0025402,778.385522,10.5214386
